CrashID,BikeAge,BikeAgeGrp,BikeAlcDrg,BikeAlcFlg,BikeDir,BikeInjury,BikePos,BikeRace,BikeSex,DrvrAge,DrvrAgeGrp,DrvrAlcDrg,DrvrAlcFlg,DrvrInjury,DrvrRace,DrvrSex,DrvrVehTyp
101878313,11,15-Nov,.,No,With Traffic,B: Suspected Minor Injury,Sidewalk / Crosswalk / Driveway Crossing,Black,Male,35,30-39,.,No,O: No Injury,White,Male,Passenger Car
101885911,20,20-24,.,No,Facing Traffic,C: Possible Injury,Sidewalk / Crosswalk / Driveway Crossing,Hispanic,Male,64,60-69,.,No,O: No Injury,White,Male,Passenger Car
101886055,37,30-39,.,No,Unknown,B: Suspected Minor Injury,Non-Roadway,Black,Male,39,30-39,.,No,O: No Injury,White,Female,Passenger Car
101890155,30,30-39,.,No,With Traffic,C: Possible Injury,Travel Lane,White,Male,999,Unknown,.,No,Unknown Injury,Unknown/Missing,Unknown,Sport Utility
101899756,45,40-49,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,Black,Male,51,50-59,.,No,O: No Injury,Black,Female,Van
101900655,58,50-59,.,No,With Traffic,B: Suspected Minor Injury,Sidewalk / Crosswalk / Driveway Crossing,White,Male,999,Unknown,.,No,Unknown Injury,Unknown/Missing,Unknown,Passenger Car
101905904,51,50-59,.,Yes,With Traffic,A: Suspected Serious Injury,Travel Lane,Black,Male,61,60-69,.,No,O: No Injury,White,Male,Pickup
101906964,13,15-Nov,.,No,With Traffic,C: Possible Injury,Travel Lane,White,Male,18,0-19,.,No,O: No Injury,Black,Female,Passenger Car
101907449,18,16-19,.,No,With Traffic,C: Possible Injury,Bike Lane / Paved Shoulder,White,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,"Light Truck (Mini-Van, Panel)"
101916355,39,30-39,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,70+,70+,.,No,Unknown Injury,Unknown/Missing,Male,Passenger Car
101919887,19,16-19,.,Yes,Facing Traffic,A: Suspected Serious Injury,Travel Lane,Hispanic,Male,24,20-24,.,Yes,O: No Injury,White,Female,Passenger Car
101927990,35,30-39,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,Black,Male,27,25-29,.,No,O: No Injury,White,Male,Pickup
101928787,40,40-49,.,No,With Traffic,C: Possible Injury,Travel Lane,Hispanic,Male,21,20-24,.,No,O: No Injury,White,Female,Passenger Car
