CrashID,CrashAlcoh,CrashDay,CrashGrp,CrashHour,CrashLoc,CrashMonth,CrashSevr,CrashType,CrashYear,City,County,HitRun
101878313,No,Tuesday,Parallel Paths - Other Circumstances,16,Non-Intersection,January,B: Suspected Minor Injury,Bicyclist Ride Out - Parallel Path,2007,Durham,Durham,No
101885911,No,Friday,Motorist Failed to Yield - Signalized Intersection,9,Intersection,January,C: Possible Injury,Motorist Drive Out - Right Turn on Red,2007,Cary,Wake,No
101886055,No,Monday,Non-Roadway,17,Non-Roadway,January,B: Suspected Minor Injury,Non-Roadway,2007,Stallings,Union,No
101890155,No,Friday,Motorist Left Turn / Merge,17,Intersection,January,C: Possible Injury,Motorist Left Turn - Opposite Direction,2007,Salisbury,Rowan,Yes
101899756,No,Friday,Motorist Overtaking Bicyclist,12,Non-Intersection,January,B: Suspected Minor Injury,Motorist Overtaking - Bicyclist Swerved,2007,Fayetteville,Cumberland,No
101900655,No,Wednesday,Bicyclist Failed to Yield - Signalized Intersection,9,Intersection,January,B: Suspected Minor Injury,Bicyclist Ride Out - Signalized  Intersection,2007,Salisbury,Rowan,Yes
101905904,Yes,Saturday,Motorist Overtaking Bicyclist,19,Non-Intersection,January,A: Suspected Serious Injury,Motorist Overtaking - Undetected Bicyclist,2007,None - Rural Crash,Randolph,No
101906964,No,Sunday,Bicyclist Failed to Yield - Sign-Controlled Intersection,15,Intersection,February,C: Possible Injury,Bicyclist Ride Out - Sign-Controlled Intersection,2007,Beaufort,Carteret,No
101907449,No,Monday,Motorist Overtaking Bicyclist,8,Non-Intersection,February,C: Possible Injury,Motorist Overtaking - Other / Unknown,2007,Lenoir,Caldwell,Yes
101916355,No,Tuesday,Motorist Overtaking Bicyclist,9,Intersection-Related,February,B: Suspected Minor Injury,Motorist Overtaking - Other / Unknown,2007,Eden,Rockingham,Yes
101919887,Yes,Saturday,Bicyclist Right Turn / Merge,21,Non-Intersection,February,A: Suspected Serious Injury,Bicyclist Right Turn - Opposite Direction,2007,Cary,Wake,No
101927990,No,Tuesday,Motorist Overtaking Bicyclist,11,Non-Intersection,January,B: Suspected Minor Injury,Motorist Overtaking - Other / Unknown,2007,Raleigh,Wake,No
101928787,No,Wednesday,Motorist Failed to Yield - Sign-Controlled Intersection,20,Intersection,January,C: Possible Injury,Motorist Drive Out - Sign-Controlled Intersection,2007,None - Rural Crash,Johnston,No
101928988,No,Wednesday,Motorist Right Turn / Merge,15,Intersection,January,B: Suspected Minor Injury,Motorist Right Turn - Same Direction,2007,Davidson,Mecklenburg,No
101930312,No,Friday,Bicyclist Failed to Yield - Midblock,14,Non-Intersection,January,C: Possible Injury,Bicyclist Ride Out - Other Midblock,2007,Smithfield,Johnston,No
101930314,No,Friday,Motorist Failed to Yield - Sign-Controlled Intersection,8,Intersection,January,C: Possible Injury,Motorist Drive Out - Sign-Controlled Intersection,2007,Smithfield,Johnston,No
101930856,No,Saturday,Bicyclist Failed to Yield - Midblock,13,Non-Intersection,January,A: Suspected Serious Injury,Bicyclist Ride Out - Other Midblock,2007,None - Rural Crash,Davie,No
101931057,Yes,Saturday,Loss of Control / Turning Error,6,Non-Intersection,January,C: Possible Injury,"Bicyclist Lost Control - Oversteering, Improper Braking, Speed",2007,None - Rural Crash,Robeson,No
