CrashID,RdCharacte,RdClass,RdConditio,RdConfig,RdDefects,RdFeature,RdSurface,Region,RuralUrban,SpeedLimit,TraffCntrl,Weather,Workzone,Latitude,LightCond,Locality,Longitude
101878313,Straight - Level,Local Street,Dry,"Two-Way, Divided, Unprotected Median",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,No Control Present,Clear,No,36.03949,Daylight,Urban (>70% Developed),-78.883896
101885911,Straight - Grade,Local Street,Dry,"Two-Way, Divided, Unprotected Median",None,Four-Way Intersection,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,Stop And Go Signal,Clear,No,35.751118,Daylight,Urban (>70% Developed),-78.7828
101886055,Straight - Level,Public Vehicular Area,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,20 - 25  MPH,No Control Present,Cloudy,No,35.084732,Dusk,Urban (>70% Developed),-80.69782
101890155,Straight - Grade,Local Street,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,No Control Present,Cloudy,No,35.6844,Daylight,Urban (>70% Developed),-80.47932
101899756,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Coastal,Urban,30 - 35  MPH,"Double Yellow Line, No Passing Zone",Clear,No,34.999428,Daylight,Urban (>70% Developed),-78.90445
101900655,Straight - Grade,Local Street,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,Stop And Go Signal,Clear,No,35.666668,Daylight,Urban (>70% Developed),-80.47759
101905904,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Piedmont,Rural,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Cloudy,No,35.839287,Dark - Roadway Not Lighted,Rural (<30% Developed),-79.59008
101906964,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Coastal,Rural,20 - 25  MPH,Stop Sign,Clear,No,34.717346,Daylight,Urban (>70% Developed),-76.65675
101907449,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Mountains,Urban,Unknown,No Control Present,Cloudy,No,35.890682,Daylight,Urban (>70% Developed),-81.57649
101916355,Straight - Grade,Local Street,Dry,"Two-Way, Not Divided",Unknown,No Special Feature,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,No Control Present,Clear,No,36.512688,Daylight,Urban (>70% Developed),-79.75971
101919887,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,No Control Present,Clear,No,35.79067,Dark - Lighted Roadway,Urban (>70% Developed),-78.77092
101927990,Straight - Level,Local Street,Dry,"Two-Way, Divided, Unprotected Median",None,No Special Feature,Coarse Asphalt,Piedmont,Urban,40 - 45  MPH,No Control Present,Clear,No,35.854084,Dark - Lighted Roadway,Urban (>70% Developed),-78.580986
101928787,Straight - Level,US Route,Dry,"Two-Way, Divided, Unprotected Median",None,Four-Way Intersection,Smooth Asphalt,Coastal,Rural,50 - 55  MPH,Stop Sign,Clear,No,35.4828,Dark - Roadway Not Lighted,Rural (<30% Developed),-78.2452
101928988,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Concrete,Piedmont,Urban,30 - 35  MPH,"Double Yellow Line, No Passing Zone",Clear,No,35.491177,Daylight,Urban (>70% Developed),-80.83144
101930312,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Coastal,Urban,20 - 25  MPH,No Control Present,Clear,No,35.50502,Daylight,Urban (>70% Developed),-78.351204
101930314,Straight - Level,US Route,Wet,"Two-Way, Divided, Unprotected Median",None,No Special Feature,Coarse Asphalt,Coastal,Urban,30 - 35  MPH,No Control Present,Rain,No,35.492355,Daylight,Mixed (30% To 70% Developed),-78.35791
101930856,Straight - Level,Public Vehicular Area,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Rural,50 - 55  MPH,No Control Present,Clear,No,36.01364,Daylight,Urban (>70% Developed),-80.4382
101931057,Straight - Level,State Secondary Route,Wet,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Coastal,Rural,50 - 55  MPH,No Control Present,Cloudy,No,34.71112,Dark - Roadway Not Lighted,Rural (<30% Developed),-79.02516
101931441,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,20 - 25  MPH,No Control Present,Clear,No,36.002743,Daylight,Mixed (30% To 70% Developed),-78.8785
101932125,Straight - Level,Public Vehicular Area,Dry,"Two-Way, Not Divided",None,"Driveway, Public",Smooth Asphalt,Piedmont,Urban,Unknown,No Control Present,Clear,No,35.262295,Daylight,Urban (>70% Developed),-81.15347
101932468,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Coastal,Rural,40 - 45  MPH,No Control Present,Clear,No,34.792816,Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),-76.88812
101932481,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,T-Intersection,Coarse Asphalt,Piedmont,Urban,30 - 35  MPH,No Control Present,Clear,No,36.12228,Daylight,Urban (>70% Developed),-80.23296
101933243,Straight - Grade,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,No Control Present,Clear,No,36.07042,Dark - Lighted Roadway,Urban (>70% Developed),-79.49479
101934014,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,Stop And Go Signal,Clear,No,36.089798,Daylight,Urban (>70% Developed),-79.84083
101934242,Straight - Bottom,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Rural,30 - 35  MPH,No Control Present,Clear,No,35.515663,Dusk,Rural (<30% Developed),-81.20707
101934282,Straight - Grade,NC Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Rural,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Clear,No,35.80795,Dusk,Rural (<30% Developed),-80.94646
101934837,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,36.094707,Daylight,Rural (<30% Developed),-80.451485
101934858,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Rural,40 - 45  MPH,No Control Present,Clear,No,35.938232,Daylight,Rural (<30% Developed),-79.1048
101935110,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,40 - 45  MPH,No Control Present,Clear,No,35.17583,Daylight,Urban (>70% Developed),-80.71236
101936110,Straight - Level,Local Street,Dry,"Two-Way, Divided, Unprotected Median",None,Four-Way Intersection,Smooth Asphalt,Coastal,Urban,40 - 45  MPH,Stop And Go Signal,Clear,No,35.612984,Dark - Lighted Roadway,Urban (>70% Developed),-77.39265
101937130,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,40 - 45  MPH,Stop And Go Signal,Clear,No,35.245506,Daylight,Urban (>70% Developed),-80.8931
101937241,Straight - Grade,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,20 - 25  MPH,No Control Present,Clear,No,36.08168,Dark - Lighted Roadway,Urban (>70% Developed),-80.22822
101937416,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Coastal,Urban,40 - 45  MPH,No Control Present,Clear,No,34.209282,Daylight,Urban (>70% Developed),-77.8869
101937644,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,Coastal,Rural,30 - 35  MPH,Stop Sign,Clear,No,35.595676,Daylight,Mixed (30% To 70% Developed),-77.59074
101938218,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Coastal,Urban,20 - 25  MPH,No Control Present,Clear,No,35.045383,Daylight,Urban (>70% Developed),-78.95343
101938786,Straight - Level,NC Route,Dry,"Two-Way, Divided, Unprotected Median",None,Four-Way Intersection,Smooth Asphalt,Piedmont,Urban,40 - 45  MPH,Stop And Go Signal,Cloudy,No,35.076767,Dark - Roadway Not Lighted,Urban (>70% Developed),-80.7728
101939056,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,No Control Present,Clear,No,35.99294,Daylight,Urban (>70% Developed),-78.870125
101939071,Straight - Grade,Local Street,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Coarse Asphalt,Piedmont,Urban,30 - 35  MPH,Stop Sign,Clear,No,35.991573,Dark - Roadway Not Lighted,Urban (>70% Developed),-78.874756
101939090,Straight - Grade,Local Street,Dry,Unknown,None,No Special Feature,Smooth Asphalt,Piedmont,Urban,Unknown,No Control Present,Clear,No,35.235817,Daylight,Urban (>70% Developed),-80.8049
101940846,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Coastal,Rural,50 - 55  MPH,No Control Present,Clear,No,35.615498,Dark - Roadway Not Lighted,Rural (<30% Developed),-77.5762
101940857,Straight - Level,US Route,Dry,"Two-Way, Divided, Unprotected Median",None,T-Intersection,Coarse Asphalt,Coastal,Rural,50 - 55  MPH,Stop Sign,Clear,No,35.62566,Daylight,Rural (<30% Developed),-77.29887
101941069,Straight - Level,US Route,Dry,"Two-Way, Divided, Positive Median Barrier",None,No Special Feature,Smooth Asphalt,Mountains,Rural,60 - 75 MPH,No Control Present,Clear,No,35.246716,Daylight,Rural (<30% Developed),-81.42572
101941148,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Mountains,Urban,20 - 25  MPH,No Control Present,Clear,No,35.617664,Dark - Lighted Roadway,Urban (>70% Developed),-82.56375
101941442,Straight - Level,NC Route,Dry,"Two-Way, Divided, Unprotected Median",None,No Special Feature,Smooth Asphalt,Coastal,Urban,40 - 45  MPH,No Control Present,Clear,No,34.74369,Daylight,Urban (>70% Developed),-77.38374
101941786,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,20 - 25  MPH,Stop Sign,Clear,No,35.211964,Daylight,Urban (>70% Developed),-80.855385
101942732,Straight - Level,State Secondary Route,Wet,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Coastal,Rural,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Cloudy,No,34.70917,Dark - Roadway Not Lighted,Rural (<30% Developed),-79.13827
101943002,Straight - Level,Local Street,Wet,"Two-Way, Not Divided",None,Four-Way Intersection,Coarse Asphalt,Piedmont,Urban,30 - 35  MPH,Stop And Go Signal,Cloudy,No,35.814167,Daylight,Urban (>70% Developed),-80.264114
101944217,Straight - Grade,Local Street,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,No Control Present,Clear,No,36.017002,Daylight,Urban (>70% Developed),-78.91431
